objectid,filename,title,subject,publication_date,creator,language,source,description,copyright,file_size,format,rights_holder
KKC_001,keeper_of_the_flame.pdf,Keeper of the Flame,Missing in action--Family relationships--United States,1991,Karen Kaut,En,Lyrical Iowa,Honorable Mention; Carl Stiefel Award for national or World Events,Publication copyright held by Lyrical Iowa.,372 KB,PDF,Family of Karen Kaut
KKC_002,heil_to_the_chief?.pdf,Heil to the Chief?,Ku Klux Klan (1915- )--1960-2000;,1992,Karen Kaut,En,Lyrical Iowa,For the MIAs of this war and all the wars . . . lest we forget . . .; Honorable Mention; Carl Stiefel Award for National or World Events,Publication copyright held by Lyrical Iowa.,364 KB,PDF,Family of Karen Kaut
KKC_003,the_weaving.pdf,The Weaving,4-H Youth Development Program (U.S.)--Iowa--History,1993,Karen Kaut,En,Lyrical Iowa,A 4-H Remembrance; Honorable Mention; Adult General,Publication copyright held by Lyrical Iowa.,369 KB,PDF,Family of Karen Kaut
KKC_004,messenger_from_the_nile.pdf,Messenger from the Nile,Cats--Egypt; Cats--History--Miscellanea,1994,Karen Kaut,En,Lyrical Iowa,,Publication copyright held by Lyrical Iowa.,361 KB,PDF,Family of Karen Kaut
KKC_005,return_to_sarajevo.pdf,Return to Sarajevo,"Sarajevo (Bosnia and Herzegovina)--History--Siege, 1992-1996; Olympics--History--20th century",1995,Karen Kaut,En,Lyrical Iowa,,Publication copyright held by Lyrical Iowa.,364 KB,PDF,Family of Karen Kaut
KKC_006,lullaby.pdf,Lullaby,Miscarriage--Psychological aspects,1996,Karen Kaut,En,Lyrical Iowa,,Publication copyright held by Lyrical Iowa.,361 KB,PDF,Family of Karen Kaut
KKC_007,dated!.pdf,Dated!,Technological complexity--Social aspects,1997,Karen Kaut,En,Lyrical Iowa,,Publication copyright held by Lyrical Iowa.,357 KB,PDF,Family of Karen Kaut
KKC_008,the _tail of a_cat.pdf,The “Tail” of a Cat...or Can You Belive That?,Cats--Caricatures and cartoons--Juvenile fiction,1998,Karen Kaut,En,Lyrical Iowa,"Third Place, Poems for Children",Publication copyright held by Lyrical Iowa.,375 KB,PDF,Family of Karen Kaut
KKC_009,The_grief_group_a_paradox.pdf,The Grief Group a Paradox,Grief therapy--Psychological aspects; Grief--Psychological aspects--Poetry,1999,Karen Kaut,En,Lyrical Iowa,,Publication copyright held by Lyrical Iowa.,361 KB,PDF,Family of Karen Kaut
KKC_010,sounds_like_a_plan!.pdf,Sounds Like a Plan!,Body weight--Social aspects--United States,2000,Karen Kaut,En,Lyrical Iowa,"Honorable Mention, Humorous Verse",Publication copyright held by Lyrical Iowa.,366 KB,PDF,Family of Karen Kaut
